AGE,DEPARTMENT_ID,ID,LASTNAME,NAME,SALARY
29,1,4,Smith,Lia,76839.29
27,1,5,Johnson,Olivia,65411.75
32,3,6,Williams,Noah,66827.42
28,1,7,Brown,Emma,72225.86
23,3,8,Jones,Oliver,110411.37
58,2,9,Garcia,Charlotte,48395.73
30,1,10,Miller,James,112117.89
44,3,11,Davis,Amelia,80112.59
37,2,12,Rodriguez,Sophia,118431.25
51,1,13,Martinez,Benjamin,47120.37
51,3,14,Hernandez,Lucas,114402.13
28,3,15,Lopez,Mia,73418.94
55,1,16,Gonzalez,Henry,119427.32
55,1,17,Wilson,Evelyn,88448.33
46,1,18,Anderson,Alexander,50785.87
21,1,19,Castro,Juan,60000.0
